0	0	0	0	0	
1	1	1	-1	1	
0	0	0	0	2	
1	1	-1	1	3	
0	2	-2	2	4	
-1	1	-1	1	5	
-2	0	0	0	6	
-3	-1	-1	-1	7	
-2	-2	-2	-2	8	
-3	-3	-3	-3	7	
-2	-2	-4	-4	8	
-1	-1	-5	-5	9	
-2	-2	-6	-6	10	
-1	-3	-7	-7	11	
0	-4	-8	-8	12	
1	-3	-7	-7	13	
0	-2	-8	-6	14	
-1	-1	-7	-7	13	
-2	-2	-6	-8	14	
-1	-3	-7	-9	13	
0	-4	-8	-8	12	
-1	-5	-9	-9	11	
-2	-4	-8	-10	10	
-3	-3	-7	-9	11	
-4	-2	-6	-10	10	
-5	-1	-7	-9	9	
-6	0	-6	-8	10	
-7	1	-7	-7	11	
-6	0	-6	-6	10	
-5	-1	-5	-7	9	
-4	-2	-4	-8	8	
-5	-1	-5	-9	7	
-6	0	-6	-10	6	
-5	1	-7	-11	7	
-6	2	-6	-10	8	
-7	1	-5	-9	7	
-8	0	-6	-8	8	
-7	-1	-7	-7	9	
-6	0	-8	-8	10	
-5	1	-9	-9	11	
-6	0	-10	-8	12	
-7	-1	-9	-9	13	
-8	0	-8	-10	12	
-9	1	-9	-9	13	
-8	0	-10	-8	12	
-9	-1	-9	-9	13	
-8	0	-10	-10	14	
-9	1	-11	-11	13	
-10	0	-10	-12	12	
-11	-1	-11	-13	11	
-10	-2	-12	-14	12	
-11	-3	-11	-15	13	
-10	-4	-10	-14	14	
-11	-3	-9	-15	13	
-10	-4	-10	-14	12	
-11	-3	-9	-13	13	
-12	-4	-10	-12	14	
-13	-5	-9	-13	15	
-12	-6	-8	-14	16	
-11	-7	-7	-13	17	
-10	-8	-6	-12	16	
-9	-7	-7	-13	17	
-10	-6	-6	-14	16	
-11	-7	-5	-15	17	
-12	-6	-6	-16	18	
-13	-5	-7	-17	17	
-14	-6	-6	-16	16	
-15	-7	-7	-17	15	
-16	-8	-6	-18	16	
-15	-9	-5	-17	17	
-16	-8	-6	-18	16	
-17	-7	-5	-19	17	
-16	-8	-4	-18	18	
-15	-9	-5	-17	19	
-14	-10	-4	-16	20	
-13	-9	-5	-15	21	
-14	-10	-4	-16	20	
-13	-9	-5	-17	19	
-12	-8	-6	-16	20	
-13	-9	-7	-15	21	
-14	-8	-8	-14	20	
-13	-9	-7	-13	21	
-12	-8	-6	-14	20	
-11	-7	-5	-13	19	
-10	-6	-4	-14	18	
-11	-7	-3	-15	19	
-10	-6	-4	-16	20	
-11	-5	-5	-15	21	
-10	-4	-6	-14	22	
-9	-3	-7	-13	23	
-8	-2	-8	-14	22	
-7	-1	-7	-15	23	
-8	-2	-6	-14	22	
-7	-1	-7	-13	21	
-8	0	-6	-14	22	
-9	1	-5	-13	23	
-10	2	-4	-14	24	
-11	1	-3	-15	25	
-12	2	-2	-16	26	
-11	3	-1	-17	25	
-10	4	-2	-18	24	
-11	3	-3	-19	25	
-12	4	-2	-20	26	
-11	3	-3	-19	25	
-10	2	-2	-20	24	
-9	1	-1	-19	25	
-8	0	-2	-18	24	
-9	1	-3	-19	25	
-8	2	-2	-20	26	
-9	1	-3	-21	27	
-10	2	-4	-22	28	
-11	1	-3	-21	29	
-12	2	-2	-22	28	
-11	3	-3	-23	29	
-10	2	-2	-22	30	
-11	1	-1	-23	31	
-10	2	-2	-22	32	
-11	1	-1	-21	33	
-10	2	-2	-20	32	
-11	1	-1	-19	33	
-10	2	0	-18	34	
-9	1	1	-19	35	
-10	2	2	-20	36	
-9	1	1	-19	35	
-8	0	2	-18	36	
-7	-1	1	-19	35	
-6	0	0	-18	34	
-7	-1	-1	-17	35	
-6	0	-2	-18	34	
-5	-1	-1	-17	33	
-4	-2	0	-16	32	
-3	-1	1	-15	33	
-4	-2	2	-14	32	
-5	-1	1	-13	33	
-4	-2	2	-14	34	
-3	-1	1	-15	35	
-2	-2	2	-14	34	
-1	-1	1	-13	35	
0	0	2	-14	36	
1	-1	1	-13	35	
2	0	2	-14	36	
1	1	3	-13	35	
0	0	4	-12	36	
1	-1	5	-11	37	
0	-2	6	-12	38	
-1	-3	7	-11	39	
0	-4	8	-10	38	
1	-3	9	-11	39	
0	-2	10	-12	40	
-1	-1	9	-13	41	
-2	-2	8	-12	42	
-1	-3	9	-11	41	
0	-2	10	-12	42	
1	-1	11	-11	41	
2	0	10	-12	42	
3	1	9	-13	41	
2	0	10	-14	42	
1	-1	11	-13	43	
2	0	12	-12	42	
3	1	13	-13	41	
2	2	12	-12	40	
3	3	11	-11	41	
2	2	10	-12	40	
3	1	11	-11	41	
2	2	12	-12	40	
1	1	13	-11	39	
0	0	12	-12	38	
-1	-1	13	-11	37	
0	0	14	-10	38	
1	-1	15	-11	37	
0	0	14	-10	38	
-1	-1	15	-11	37	
-2	0	14	-12	36	
-3	-1	15	-11	35	
-4	-2	16	-10	34	
-5	-1	17	-9	33	
-4	-2	18	-8	34	
-3	-3	19	-7	35	
-4	-2	20	-8	34	
-5	-1	19	-9	33	
-6	-2	18	-8	32	
-5	-3	19	-7	33	
-4	-4	18	-6	32	
-3	-3	17	-5	31	
-4	-2	18	-4	32	
-3	-1	19	-3	33	
-4	-2	18	-2	32	
-5	-1	19	-1	33	
-4	-2	18	0	32	
-5	-3	17	-1	33	
-4	-4	16	-2	34	
-3	-5	15	-1	35	
-2	-6	14	0	34	
-1	-5	15	-1	35	
0	-4	14	0	36	
-1	-5	15	1	35	
-2	-4	14	0	36	
-3	-5	13	-1	35	
-4	-6	12	-2	34	
-3	-7	11	-1	33	
-2	-6	12	-2	32	
-1	-7	13	-3	33	
-2	-8	14	-4	32	
-1	-9	15	-5	33	
0	-8	16	-6	32	
1	-9	17	-7	33	
2	-8	18	-8	32	
1	-9	19	-7	31	
0	-8	20	-8	32	
