0	0	0	0	0	0	
1	1	1	-1	1	-1	
0	0	2	0	2	0	
-1	1	3	-1	3	-1	
0	2	2	-2	4	-2	
1	1	1	-1	3	-1	
0	0	0	-2	4	0	
-1	-1	-1	-1	3	-1	
-2	-2	-2	0	4	-2	
-3	-1	-1	1	3	-3	
-2	-2	-2	0	2	-2	
-1	-3	-3	-1	3	-1	
-2	-4	-4	0	4	0	
-1	-3	-3	-1	5	-1	
0	-2	-4	0	6	-2	
-1	-3	-5	1	5	-1	
0	-4	-6	0	4	0	
-1	-5	-5	-1	3	-1	
-2	-6	-6	-2	4	0	
-3	-7	-7	-1	5	1	
-2	-8	-6	0	4	0	
-3	-7	-7	1	3	-1	
-2	-6	-6	2	2	0	
-3	-5	-5	3	1	1	
-2	-6	-4	2	2	0	
-3	-5	-5	3	1	-1	
-4	-4	-6	2	0	-2	
-3	-5	-7	1	1	-1	
-4	-6	-6	0	2	0	
-3	-5	-7	-1	3	1	
-4	-6	-8	-2	4	2	
-3	-7	-9	-1	5	3	
-2	-8	-10	0	6	4	
-3	-9	-9	-1	5	3	
-2	-8	-10	-2	6	2	
-1	-9	-9	-1	5	1	
-2	-8	-10	0	6	2	
-3	-9	-9	-1	5	1	
-2	-10	-8	0	6	0	
-3	-9	-9	1	5	-1	
-4	-10	-10	2	4	-2	
-5	-11	-11	1	3	-1	
-6	-12	-12	2	2	-2	
-5	-13	-11	3	1	-1	
-4	-12	-12	4	2	-2	
-5	-11	-13	3	3	-3	
-6	-10	-12	4	4	-4	
-7	-11	-11	5	3	-5	
-6	-12	-10	6	2	-4	
-7	-11	-9	5	3	-3	
-6	-10	-10	6	4	-4	
-5	-9	-11	5	5	-5	
-4	-8	-12	4	4	-6	
-3	-9	-11	3	5	-7	
-4	-8	-12	4	4	-8	
-5	-9	-13	5	5	-9	
-6	-10	-14	4	4	-10	
-7	-9	-15	5	5	-11	
-6	-8	-14	4	6	-12	
-7	-9	-15	5	7	-13	
-6	-8	-16	6	8	-12	
-5	-9	-17	7	9	-11	
-6	-8	-16	8	10	-10	
-7	-7	-15	7	9	-9	
-8	-8	-14	8	8	-10	
-9	-7	-13	7	9	-9	
-10	-8	-14	8	10	-10	
-9	-9	-13	7	11	-11	
-8	-8	-12	8	12	-10	
-9	-9	-11	9	13	-9	
-10	-8	-10	10	12	-10	
-11	-9	-9	9	13	-9	
-10	-10	-10	10	12	-8	
-11	-9	-9	11	13	-9	
-10	-8	-8	12	12	-8	
-9	-7	-7	11	11	-9	
-8	-6	-6	10	12	-10	
-9	-5	-5	9	13	-9	
-10	-4	-6	8	14	-8	
-11	-3	-7	9	15	-7	
-10	-4	-6	10	14	-6	
-11	-5	-5	9	15	-7	
-10	-4	-6	10	16	-6	
-9	-5	-7	11	17	-7	
-10	-6	-8	10	16	-8	
-9	-7	-7	11	15	-7	
-8	-8	-8	12	14	-6	
-9	-7	-9	11	15	-7	
-8	-6	-8	12	14	-8	
-7	-7	-9	13	13	-9	
-6	-6	-8	14	12	-8	
-7	-7	-9	13	13	-9	
-6	-8	-10	14	12	-10	
-5	-7	-9	13	13	-9	
-6	-8	-8	14	12	-10	
-5	-7	-9	15	13	-9	
-6	-8	-8	14	14	-8	
-5	-9	-7	15	13	-9	
-4	-8	-6	16	14	-10	
-3	-9	-7	15	15	-9	
-2	-8	-6	16	16	-8	
-1	-9	-5	15	17	-9	
0	-8	-6	16	18	-10	
-1	-7	-7	17	17	-9	
0	-6	-6	16	16	-10	
-1	-5	-5	15	17	-11	
-2	-6	-6	16	18	-10	
-1	-7	-7	15	19	-11	
0	-6	-8	16	18	-10	
1	-7	-7	17	19	-9	
2	-8	-8	18	20	-10	
1	-7	-9	19	21	-9	
0	-6	-10	20	22	-8	
-1	-7	-9	21	21	-7	
0	-8	-8	22	20	-6	
1	-7	-7	23	19	-5	
2	-8	-8	24	18	-4	
3	-7	-9	25	17	-3	
4	-6	-10	24	16	-2	
5	-5	-9	23	17	-1	
6	-6	-10	24	16	0	
5	-7	-9	25	17	1	
4	-6	-8	24	18	2	
5	-7	-7	23	19	3	
4	-6	-8	24	18	2	
5	-7	-9	23	19	3	
6	-8	-8	24	18	4	
7	-7	-9	25	19	5	
8	-6	-10	26	20	4	
7	-5	-9	27	19	3	
6	-6	-10	28	18	4	
5	-7	-9	29	19	5	
6	-6	-8	28	20	6	
7	-7	-9	27	21	5	
8	-8	-8	28	20	6	
9	-9	-9	27	19	5	
10	-10	-8	28	20	4	
11	-9	-9	27	19	3	
12	-8	-10	26	18	2	
11	-9	-11	25	19	3	
10	-8	-10	26	20	4	
11	-9	-9	25	19	3	
12	-10	-8	26	18	2	
13	-11	-9	25	19	1	
12	-12	-10	24	20	2	
11	-13	-11	25	21	1	
10	-12	-10	26	20	2	
9	-11	-9	27	21	1	
10	-10	-8	26	22	2	
9	-11	-9	27	21	1	
8	-12	-10	26	22	0	
9	-13	-9	27	23	1	
8	-14	-8	26	24	2	
7	-13	-9	25	25	3	
8	-12	-8	26	26	4	
9	-13	-9	25	27	3	
8	-12	-8	26	28	4	
7	-13	-7	25	27	3	
6	-14	-6	26	26	2	
5	-13	-5	25	25	3	
6	-12	-6	24	26	2	
7	-11	-5	23	27	3	
8	-12	-4	24	26	2	
9	-11	-5	23	27	1	
8	-10	-6	22	26	0	
7	-11	-7	21	25	-1	
8	-12	-8	22	24	0	
9	-11	-9	21	25	-1	
10	-12	-8	20	24	0	
9	-13	-7	19	25	-1	
10	-12	-6	20	24	-2	
11	-13	-5	19	25	-1	
12	-12	-6	18	24	-2	
13	-11	-7	17	25	-1	
12	-10	-6	16	24	-2	
13	-11	-7	15	23	-3	
14	-10	-6	16	22	-4	
13	-11	-7	17	21	-3	
12	-10	-8	16	22	-2	
13	-11	-7	15	23	-1	
12	-12	-6	16	24	-2	
13	-11	-7	17	25	-3	
14	-10	-8	18	26	-2	
13	-9	-9	17	25	-1	
12	-8	-10	18	26	-2	
11	-7	-9	19	25	-1	
12	-8	-8	18	24	0	
11	-9	-7	17	23	-1	
10	-8	-8	16	22	0	
9	-9	-9	15	23	1	
8	-8	-10	14	22	0	
7	-7	-11	13	23	-1	
8	-6	-10	14	24	0	
9	-7	-11	15	23	-1	
8	-6	-12	16	24	0	
7	-5	-13	17	23	1	
6	-6	-14	18	22	2	
7	-7	-13	17	21	1	
6	-8	-12	16	20	2	
7	-9	-13	17	19	1	
8	-10	-12	16	18	2	
7	-9	-11	15	19	1	
6	-8	-12	14	18	0	
5	-7	-13	13	19	1	
6	-8	-14	14	18	2	
7	-9	-13	13	17	1	
8	-10	-14	12	18	2	
7	-11	-13	11	17	1	
6	-10	-14	10	16	2	
7	-11	-13	9	17	3	
8	-10	-12	8	16	2	
9	-11	-11	7	17	1	
10	-12	-12	8	18	2	
9	-13	-13	9	19	1	
8	-14	-12	8	20	0	
7	-15	-11	9	19	1	
6	-14	-10	10	20	0	
5	-15	-9	11	19	-1	
6	-14	-8	12	18	-2	
7	-13	-9	11	19	-3	
8	-12	-10	12	18	-4	
9	-13	-11	13	19	-5	
10	-14	-12	14	18	-4	
9	-15	-11	15	19	-3	
8	-14	-10	16	18	-4	
7	-13	-11	17	17	-5	
8	-14	-12	18	16	-6	
9	-13	-13	17	15	-5	
8	-14	-12	18	14	-4	
